15/04/1975,Georgetown,Ontario,L7G,,1990 VO3 BINO  1989 VO2 RALLY;TIDE
16/04/1975,Markham,Ontario,L3P,,1991 VO1 GILLIGAN
19/04/1975,Oakville,Ontario,L6L,,1989 VO2 SKINNER
24/04/1975,Guelph,Ontario,N1G,,1989 VO1 CHOPPER
24/04/1975,London,Ontario,N6H,,1990 VO2 DRAGTMAN  1989 VO2 HOOPS
24/04/1975,Scarborough,Ontario,M1S,,1989 VO2 RALLY;TIDE
28/04/1975,Whitby,Ontario,L1N,,1989 VO1 DIGGER
29/04/1975,Mississauga,Ontario,L5C,,1989 VO3 BUFF
08/05/1975,Scarborough,Ontario,M1S,,1990 VO1 BINO  1990 VO2 FISH;SPEEDO  1989 VO1 DIGGER  1989 VO2 TIGGER
09/05/1975,Hamilton,Ontario,L8S,,1990 VO3 CHESTER  1989 VO1 DIGGER
11/05/1975,Foxboro,Ontario,K8P,,1989 VO1 CHESTER
11/05/1975,Unionville,Ontario,L3R,,1991 VO2 TRUMP  1990 VO2 OLERUD  1989 VO2 SURF; BUFF
13/05/1975,Kanata,Ontario,K2K,,1991 VO1 STANG  1990 VO2 OLERUD  1989 VO3 TIGGER
13/05/1975,Niagara Falls,Ontario,L2J,,1990 VO3 CHESTER
20/05/1975,,Michigan,,United States,1989 VO1 CHESTER
21/05/1975,,,,Burmuda,1989 VO2 SQUFF;  1989 VO3 SKINNER
26/05/1975,Toronto,Ontario,M4C,,1990 VO3 BOOMER  1989 VO2 CHOPPER;BOOMER
29/05/1975,Willowdale,Ontario,M2K,,1990 VO3 CHESTER  1990 VO4 CHESTER  1989 VO2 CHOPPER; BOOMER
31/05/1975,,New York,,United States,1989 VO2 SCOOBY
03/06/1975,Woodstock,Ontario,N4S,,1989 VO3 JORDAN
04/06/1975,Mississauga,Ontario,L5H,,1990 VO1 BOOMER
06/06/1975,Bradford,Ontario,L3Z,,1989 VO1 CHOPPER
08/06/1975,Mississauga,Ontario,L4Z,,1989 VO1 HOOPS
10/06/1975,Scarborough,Ontario,M1S,,1990 VO2 BINO;PEPPER  1989 VO1 SKINNER
10/06/1975,St. Catherines,Ontario,L2N,,1990 VO2 BOOMER
13/06/1975,Mississauga,Ontario,L5C,,1990 VO1 MAVERICK  1989 VO1 HOOPS
15/06/1975,Markham,Ontario,L3P,,1989 VO3 SQUFF
22/06/1975,Burlington,Ontario,L7L,,1990 VO1 SQUFF  1989 VO1 SKINNER
25/06/1975,,,,Columbia,1989 VO1 DIGGER;  1989 VO2 SQUFF
03/07/1975,London,Ontario,N6H,,1990 VO2 DRAGTMAN  1989 VO2 HOOPS
04/07/1975,Agincourt,Ontario,M1T,,1990 VO2 FISH;SPEEDO  1989 VO3 BOOMER
04/07/1975,Ancaster,Ontario,L9G,,1990 VO2 BOOMER  1990 VO3 SQUFF  1989 VO2 SQUFF  1989 VO3 CHOPPER
05/07/1975,,Connecticut,,United States,1989 VO3 CHESTER
05/07/1975,Agincourt,Ontario,M1S,,1990 VO2 SQUFF;BOZ  1989 VO2 SURF; BUFF
11/07/1975,Guelph,Ontario,N1E,,1989 VO3 HOOPS
11/07/1975,Hamilton,Ontario,L9C,,1990 VO3 BOOMER
17/07/1975,St Catharines,Ontario,L2M,,2019 WP1 GOURMET;VOLT;RUBIK  2018 WP5b WORK PRO  2017 WP5b WORK PROGRAM  2013 WP5 WORK PROGRAM  2012 WP5 WORK PROGRAM  2011 WP5 WORK PROGRAM  2010 WP5 WORK PROGRAM  2009 WP5 WORK PROGRAM  2008 WP2 WORK PROGRAM  2007 WP2 WORK PROGRAM  2006 WP2 WORK PROGRAM
19/07/1975,Mississauga,Ontario,L5E,,1989 VO3 CHESTER
22/07/1975,Scarborough,Ontario,M1C,,1990 VO2 DRAGTMAN  1989 VO2 SQUFF
23/07/1975,Oshawa,Ontario,L1H,,1990 VO3 STRIPE  1989 VO3 BUFF
25/07/1975,Unionville,Ontario,L3R,,1991 VO1 GILLIGAN  1990 VO2 GILLIGAN  1989 RA2 BLAZE
07/08/1975,,Connecticut,,United States,1989 VO2 SCOOBY
07/08/1975,Callander,Ontario,P0H,,1990 VO1 BOOMER
07/08/1975,Hamilton,Ontario,L8K,,1990 VO4 FISH
11/08/1975,Toronto,Ontario,M4G,,1989 VO2 JORDAN
12/08/1975,Toronto,Ontario,M5M,,1989 VO2 SCOOBY
12/08/1975,Unionville,Ontario,L3R,,1991 WC12 WOODLAND  1990 VO1 GUUMBAY
16/08/1975,Mississauga,Ontario,L5K,,1990 VO1 FISH
21/08/1975,Agincourt,Ontario,M1T,,1989 VO1 SKINNER
